date,open,high,low,close,volume
1990-01-02,353.4,359.69,351.98,359.69,0
1990-01-03,359.69,360.59,357.89,358.76,0
1990-01-04,358.76,358.76,352.89,355.67,0
1990-01-05,355.67,355.67,351.35,352.2,0
1990-01-08,352.2,354.24,350.54,353.79,0
1990-01-09,353.79,354.17,349.61,349.62,0
1990-01-10,349.62,349.62,344.32,347.31,0
1990-01-11,347.31,350.14,347.31,348.53,0
1990-01-12,348.53,348.53,339.49,339.93,0
1990-01-15,339.93,339.94,336.57,337.0,0
1990-01-16,337.0,340.75,333.37,340.75,0
1990-01-17,340.75,342.01,336.26,337.4,0
1990-01-18,337.4,338.38,333.98,338.19,0
1990-01-19,338.19,340.48,338.19,339.15,0
1990-01-22,339.15,339.96,330.28,330.38,0
1990-01-23,330.38,332.76,328.67,331.61,0
1990-01-24,331.61,331.71,324.17,330.26,0
1990-01-25,330.26,332.33,325.33,326.08,0
1990-01-26,326.08,328.58,321.44,325.8,0
1990-01-29,325.8,327.31,321.79,325.2,0
1990-01-30,325.2,325.73,319.83,322.98,0
1990-01-31,322.98,329.08,322.98,329.08,0
1990-02-01,329.08,329.86,327.76,328.79,0
1990-02-02,328.79,332.1,328.09,330.92,0
1990-02-05,330.92,332.16,330.45,331.85,0
1990-02-06,331.85,331.86,328.2,329.68,0
1990-02-07,329.68,333.76,326.55,333.75,0
1990-02-08,333.75,336.09,332.0,332.96,0
1990-02-09,332.96,334.6,332.41,333.62,0
1990-02-12,333.62,333.62,329.97,330.08,0
1990-02-13,330.08,331.61,327.92,331.02,0
1990-02-14,331.02,333.2,330.64,332.01,0
1990-02-15,332.01,335.21,331.61,334.89,0
1990-02-16,334.89,335.64,332.42,332.72,0
1990-02-20,332.72,332.72,326.26,327.99,0
1990-02-21,327.99,328.17,324.47,327.67,0
1990-02-22,327.67,330.98,325.7,325.7,0
1990-02-23,325.7,326.15,322.1,324.15,0
1990-02-26,324.15,328.67,323.98,328.67,0
1990-02-27,328.67,331.94,328.47,330.26,0
1990-02-28,330.26,333.48,330.16,331.89,0
1990-03-01,331.89,334.4,331.08,332.74,0
1990-03-02,332.74,335.54,332.72,335.54,0
1990-03-05,335.54,336.38,333.49,333.74,0
1990-03-06,333.74,337.93,333.57,337.93,0
1990-03-07,337.93,338.84,336.33,336.95,0
1990-03-08,336.95,340.66,336.95,340.27,0
1990-03-09,340.27,340.27,336.84,337.93,0
1990-03-12,337.93,339.08,336.14,338.67,0
1990-03-13,338.67,338.67,335.36,336.0,0
