index,date,open,high,low,close,volume
1,2020-12-15 09:30:00,367.4,367.62,367.36,367.46,407870
2,2020-12-15 09:31:00,367.48,367.48,367.19,367.19,173406
3,2020-12-15 09:32:00,367.19,367.4,367.02,367.35,149240
4,2020-12-15 09:33:00,367.345,367.64,367.345,367.59,197941
5,2020-12-15 09:34:00,367.59,367.61,367.32,367.43,147919
6,2020-12-15 09:35:00,367.43,367.65,367.26,367.34,170552
7,2020-12-15 09:36:00,367.35,367.56,367.15,367.53,200528
8,2020-12-15 09:37:00,367.535,367.72,367.34,367.47,117417
9,2020-12-15 09:38:00,367.48,367.48,367.19,367.42,127936
10,2020-12-15 09:39:00,367.44,367.6,367.3,367.57,150339
11,2020-12-15 09:40:00,367.58,367.775,367.56,367.61,136414
12,2020-12-15 09:41:00,367.61,367.64,367.45,367.6,98185
13,2020-12-15 09:42:00,367.62,367.695,367.43,367.45,148858
14,2020-12-15 09:43:00,367.45,367.498,367.31,367.33,88886
15,2020-12-15 09:44:00,367.32,367.46,367.23,367.24,86295
16,2020-12-15 09:45:00,367.25,367.34,367.02,367.265,152942
17,2020-12-15 09:46:00,367.26,367.36,367.04,367.09,111088
18,2020-12-15 09:47:00,367.07,367.1799,366.96,367.07,144120
19,2020-12-15 09:48:00,367.07,367.29,367.07,367.205,69962
20,2020-12-15 09:49:00,367.19,367.24,367.1218,367.24,36651
21,2020-12-15 09:50:00,367.25,367.3277,367.12,367.3277,68939
22,2020-12-15 09:51:00,367.32,367.43,367.18,367.18,81772
23,2020-12-15 09:52:00,367.2,367.355,367.1,367.32,122545
24,2020-12-15 09:53:00,367.3189,367.38,367.28,367.37,70030
25,2020-12-15 09:54:00,367.37,367.43,367.335,367.355,66495
26,2020-12-15 09:55:00,367.355,367.44,367.13,367.16,98697
27,2020-12-15 09:56:00,367.15,367.15,366.84,367.02,173288
28,2020-12-15 09:57:00,367.04,367.1,366.9,366.94,128387
29,2020-12-15 09:58:00,366.94,366.95,366.69,366.85,268954
30,2020-12-15 09:59:00,366.86,366.94,366.72,366.86,76113
31,2020-12-15 10:00:00,366.85,366.94,366.64,366.85,149756
32,2020-12-15 10:01:00,366.84,367.08,366.84,366.974,414249
33,2020-12-15 10:02:00,366.9689,367.08,366.9247,367.0199,76530
34,2020-12-15 10:03:00,367.01,367.01,366.85,366.94,50476
35,2020-12-15 10:04:00,366.95,366.97,366.75,366.87,77957
36,2020-12-15 10:05:00,366.87,367.05,366.87,367.05,38181
37,2020-12-15 10:06:00,367.06,367.16,367.04,367.16,69695
38,2020-12-15 10:07:00,367.1501,367.17,366.84,366.89,58228
39,2020-12-15 10:08:00,366.91,366.99,366.77,366.85,73405
40,2020-12-15 10:09:00,366.85,366.9,366.68,366.72,45945
41,2020-12-15 10:10:00,366.7,366.94,366.57,366.94,74418
42,2020-12-15 10:11:00,366.95,366.99,366.85,366.96,68183
43,2020-12-15 10:12:00,366.98,366.98,366.805,366.91,52955
44,2020-12-15 10:13:00,366.919,367.03,366.865,366.98,72364
45,2020-12-15 10:14:00,366.98,367.12,366.96,366.97,74651
46,2020-12-15 10:15:00,366.97,366.97,366.775,366.87,150567
47,2020-12-15 10:16:00,366.86,367.02,366.825,366.98,89099
48,2020-12-15 10:17:00,366.98,367.08,366.88,366.92,56539
49,2020-12-15 10:18:00,366.92,367.04,366.8901,366.979,36546
